total_steps,episode,episode_steps,episode_reward,episode_time,win,repeated,intrinsic_reward,loss,epsilon
26,1,26,2910.0,2.0783934593200684,False,0,0.0,,
50,2,24,1677.5,1.595789909362793,False,0,0.0,5918.44140625,0.99951049
81,3,31,1802.5,2.2788734436035156,True,0,0.0,1552.615966796875,0.9992008
110,4,29,1342.5,2.4499502182006836,False,0,0.0,1049.59130859375,0.99891109
144,5,34,2227.5,2.8373465538024902,True,0,0.0,518.9269409179688,0.99857143
190,6,46,1917.5,6.86313271522522,False,0,0.0,846.04931640625,0.99811189
231,7,41,2830.0,7.833022594451904,True,0,0.0,419.58099365234375,0.9977023
262,8,31,2307.5,4.9373321533203125,False,0,0.0,470.4761962890625,0.99739261
310,9,48,1028.75,10.380122184753418,True,0,0.0,338.2610168457031,0.99691309
347,10,37,2262.5,6.654740333557129,True,0,0.0,712.8366088867188,0.99654346
377,11,30,1375.0,5.580088138580322,True,0,0.0,626.8987426757812,0.99624376
405,12,28,1830.0,5.532480239868164,True,0,0.0,500.7987365722656,0.99596404
448,13,43,2250.0,7.871488809585571,False,0,0.0,301.98779296875,0.99553447
492,14,44,2267.5,8.28862452507019,False,0,0.0,127.61237335205078,0.99509491
526,15,34,2750.0,5.972598314285278,True,0,0.0,227.63865661621094,0.99475525
552,16,26,1522.5,3.34078049659729,True,0,0.0,227.25619506835938,0.99449551
585,17,33,2265.0,6.038048267364502,True,0,0.0,499.6576843261719,0.99416584
613,18,28,1647.5,4.527159929275513,True,0,0.0,351.9600830078125,0.99388612
636,19,23,1477.5,3.5675036907196045,False,0,0.0,420.8398132324219,0.99365635
662,20,26,1593.75,4.514355897903442,True,0,0.0,280.0517578125,0.99339661
712,21,50,3132.5,10.619688749313354,True,0,0.0,516.0613403320312,0.99289711
743,22,31,1565.0,6.818775415420532,True,0,0.0,343.53216552734375,0.99258742
776,23,33,1710.0,5.386213779449463,False,0,0.0,393.9912109375,0.99225775
817,24,41,2427.5,7.30024266242981,True,0,0.0,241.5870819091797,0.99184816
884,25,67,2885.0,16.66374897956848,True,0,0.0,250.39364624023438,0.99117883
919,26,35,1935.0,5.904374122619629,False,0,0.0,938.0572509765625,0.99082918
958,27,39,1207.5,7.294239521026611,True,0,0.0,475.9991455078125,0.99043957
990,28,32,1800.0,4.823582649230957,True,0,0.0,650.57177734375,0.99011989
1035,29,45,2767.5,8.83192491531372,True,0,0.0,2047.0003662109375,0.98967034
1072,30,37,2402.5,7.561562538146973,True,0,0.0,3993.184326171875,0.98930071
1104,31,32,1547.5,5.350734233856201,False,0,0.0,3953.22998046875,0.98898103
1140,32,36,2196.25,7.025673866271973,True,0,0.0,2810.421630859375,0.98862139
1175,33,35,1525.0,6.442799806594849,False,0,0.0,2995.783203125,0.98827174
1198,34,23,1198.75,4.020808219909668,False,0,0.0,3805.9453125,0.98804197
1237,35,39,1466.25,7.9324610233306885,False,0,0.0,2077.64697265625,0.98765236
1263,36,26,1831.25,4.204449415206909,False,0,0.0,4307.4697265625,0.98739262
1310,37,47,2142.5,10.233156204223633,True,0,0.0,3484.8046875,0.98692309
1335,38,25,1373.75,4.191098928451538,False,0,0.0,1225.8270263671875,0.98667334
1373,39,38,2525.0,7.930434465408325,True,0,0.0,3181.509521484375,0.98629372
1506,40,133,1702.5,67.47236895561218,False,0,0.0,8214.1806640625,0.98496505
1539,41,33,1573.75,6.004915237426758,True,0,0.0,2640.3935546875,0.98463538
1569,42,30,1190.0,4.943363428115845,False,0,0.0,1639.0142822265625,0.98433568
1588,43,19,1270.0,2.4160118103027344,False,0,0.0,2654.824951171875,0.98414587
1621,44,33,2322.5,5.490750074386597,True,0,0.0,1233.50927734375,0.9838162
1686,45,65,2396.25,17.069963455200195,True,0,0.0,3999.979248046875,0.98316685
1729,46,43,2400.0,9.151010990142822,False,0,0.0,3712.819091796875,0.98273728
1762,47,33,1766.25,5.516156196594238,False,0,0.0,3142.7841796875,0.98240761
1803,48,41,2307.5,9.080907106399536,True,0,0.0,2448.37548828125,0.98199802
1836,49,33,2005.0,7.658602237701416,True,0,0.0,757.4296875,0.98166835
1866,50,30,1975.0,4.627052068710327,False,0,0.0,1801.7315673828125,0.98136865
1896,51,30,1810.0,5.063378810882568,False,0,0.0,2670.527587890625,0.98106895
1931,52,35,1812.5,5.695331335067749,True,0,0.0,2508.012451171875,0.9807193
1968,53,37,2251.25,6.640478134155273,False,0,0.0,2101.760498046875,0.98034967
2005,54,37,1986.25,6.553962707519531,True,0,0.0,14640.1962890625,0.97998004
2046,55,41,1542.5,7.486759185791016,True,0,0.0,20678.517578125,0.97957045
2075,56,29,2567.5,4.7025299072265625,False,0,0.0,7020.6259765625,0.97928074
2107,57,32,2340.0,5.333270788192749,True,0,0.0,6763.92138671875,0.97896106
2138,58,31,1765.0,5.157217979431152,False,0,0.0,5546.40234375,0.97865137
2158,59,20,1660.0,3.4663424491882324,True,0,0.0,3804.03564453125,0.97845157
2189,60,31,1648.75,5.960406541824341,False,0,0.0,12734.19140625,0.97814188
