total_steps,episode,episode_steps,episode_reward,episode_time,win,repeated,loss,epsilon,intrinsic_reward
35,1,35,1620.0,3.6671154499053955,True,0,7361.51171875,0.99966034,0.0
111,2,76,3133.75,11.717870950698853,True,0,891.8935546875,0.9989011,0.0
154,3,43,2265.0,4.365920543670654,True,0,621.4617919921875,0.99847153,0.0
189,4,35,1507.5,3.3502860069274902,False,0,590.4664306640625,0.99812188,0.0
233,5,44,975.0,5.072496652603149,False,0,957.4403686523438,0.99768232,0.0
260,6,27,1355.0,2.32320237159729,False,0,808.4368896484375,0.99741259,0.0
301,7,41,2362.5,4.076291561126709,False,0,299.3287353515625,0.997003,0.0
325,8,24,1400.0,1.7745530605316162,False,0,290.7308044433594,0.99676324,0.0
356,9,31,1166.25,2.926696538925171,False,0,552.7592163085938,0.99645355,0.0
379,10,23,1825.0,1.85768723487854,False,0,282.1846008300781,0.99622378,0.0
419,11,40,2347.5,4.818053483963013,True,0,201.6619110107422,0.99582418,0.0
449,12,30,1575.0,2.7669670581817627,False,0,377.8274230957031,0.99552448,0.0
481,13,32,2091.25,3.6825342178344727,False,0,872.5787963867188,0.9952048,0.0
510,14,29,2555.0,3.4841620922088623,True,0,226.43104553222656,0.99491509,0.0
538,15,28,1607.5,3.2225658893585205,False,0,261.4722595214844,0.99463537,0.0
570,16,32,1582.5,3.7157864570617676,False,0,349.4809265136719,0.99431569,0.0
602,17,32,2045.0,3.711484670639038,False,0,352.292724609375,0.99399601,0.0
643,18,41,2000.625,5.205233335494995,False,0,205.59552001953125,0.99358642,0.0
677,19,34,1266.25,4.332143783569336,True,0,157.09298706054688,0.99324676,0.0
702,20,25,666.25,2.747800827026367,False,0,299.374755859375,0.99299701,0.0
744,21,42,1762.5,6.676937818527222,False,0,351.0792236328125,0.99257743,0.0
781,22,37,1845.0,6.678776741027832,True,0,392.078369140625,0.9922078,0.0
816,23,35,1500.0,4.259589433670044,True,0,288.77703857421875,0.99185815,0.0
842,24,26,1428.75,2.927750587463379,False,0,504.3441467285156,0.99159841,0.0
864,25,22,1663.75,2.439187526702881,True,0,741.9573364257812,0.99137863,0.0
904,26,40,2170.0,5.580795764923096,True,0,171.63023376464844,0.99097903,0.0
928,27,24,1960.0,2.017887592315674,True,0,360.1448059082031,0.99073927,0.0
958,28,30,1693.75,2.8859660625457764,True,0,126.64376068115234,0.99043957,0.0
1005,29,47,1382.5,5.211102247238159,False,0,6310.396484375,0.98997004,0.0
1046,30,41,2252.5,3.989414930343628,True,0,900.8878173828125,0.98956045,0.0
1109,31,63,2932.5,8.545553207397461,True,0,755.8622436523438,0.98893108,0.0
1139,32,30,1055.0,2.7237741947174072,True,0,1023.9324340820312,0.98863138,0.0
1175,33,36,2512.5,3.4482991695404053,False,0,1974.50146484375,0.98827174,0.0
1213,34,38,2457.5,3.624778985977173,False,0,4755.87060546875,0.98789212,0.0
1246,35,33,1526.25,3.2472646236419678,True,0,3117.20849609375,0.98756245,0.0
1271,36,25,2255.0,1.8749816417694092,True,0,2256.011962890625,0.9873127,0.0
1297,37,26,1997.5,2.3380846977233887,False,0,2540.88525390625,0.98705296,0.0
1325,38,28,1092.5,2.5133275985717773,True,0,3896.509765625,0.98677324,0.0
1362,39,37,2035.0,3.6213481426239014,False,0,1954.54541015625,0.98640361,0.0
1384,40,22,1287.5,1.7577815055847168,False,0,2228.14892578125,0.98618383,0.0
1417,41,33,1263.75,3.253913640975952,True,0,6595.3583984375,0.98585416,0.0
1459,42,42,2037.5,4.499606132507324,True,0,1568.368896484375,0.98543458,0.0
1494,43,35,2242.5,3.2997705936431885,False,0,3440.9453125,0.98508493,0.0
1522,44,28,1205.0,2.4544718265533447,True,0,6682.24462890625,0.98480521,0.0
1555,45,33,1738.75,3.129456043243408,False,0,4183.734375,0.98447554,0.0
