total_steps,episode,episode_steps,episode_reward,episode_time,win,repeated,intrinsic_reward,loss,epsilon
32,1,32,143.25,4.328040838241577,True,0,0.0,,
59,2,27,83.0,3.3654873371124268,False,0,0.0,4.250768184661865,0.0
84,3,25,64.5,3.9177560806274414,True,0,0.0,6.214745998382568,0.0
115,4,31,151.5,4.077833890914917,False,0,0.0,6.2300519943237305,0.0
147,5,32,76.875,4.591113090515137,False,0,0.0,6.478528022766113,0.0
178,6,31,134.375,4.66448187828064,False,0,0.0,5.983637809753418,0.0
204,7,26,83.25,4.519223690032959,False,0,0.0,5.685423851013184,0.0
234,8,30,72.5,9.259244203567505,False,0,0.0,6.097405910491943,0.0
268,9,34,149.625,11.242779970169067,True,0,0.0,6.763694763183594,0.0
322,10,54,85.125,23.7124764919281,True,0,0.0,7.017024040222168,0.0
373,11,51,125.0,20.780334949493408,False,0,0.0,6.686676502227783,0.0
407,12,34,108.75,11.406121492385864,False,0,0.0,6.813201427459717,0.0
439,13,32,109.25,11.165182828903198,False,0,0.0,6.288094997406006,0.0
467,14,28,81.75,9.422266006469727,False,0,0.0,6.40325927734375,0.0
511,15,44,124.5,17.85226583480835,True,0,0.0,6.191368579864502,0.0
573,16,62,159.0,27.768677949905396,False,0,0.0,6.029347896575928,0.0
596,17,23,165.5,7.102592706680298,False,0,0.0,6.79080057144165,0.0
631,18,35,82.5,12.327499866485596,False,0,0.0,6.299587249755859,0.0
664,19,33,122.75,12.03580355644226,False,0,0.0,6.88645076751709,0.0
704,20,40,159.625,13.509354829788208,True,0,0.0,5.707135200500488,0.0
736,21,32,84.5,4.248631954193115,False,0,0.0,6.972644805908203,0.0
763,22,27,109.0,3.4785585403442383,False,0,0.0,6.552370071411133,0.0
813,23,50,74.0,8.049534797668457,True,0,0.0,5.405769348144531,0.0
859,24,46,85.25,7.255302906036377,True,0,0.0,6.962254047393799,0.0
885,25,26,100.0,7.952562093734741,True,0,0.0,6.497371673583984,0.0
910,26,25,127.5,3.8236379623413086,False,0,0.0,6.84603214263916,0.0
939,27,29,108.75,3.512014150619507,True,0,0.0,6.858161449432373,0.0
967,28,28,151.625,3.5636508464813232,False,0,0.0,6.893437385559082,0.0
1006,29,39,135.0,6.346220970153809,False,0,0.0,5.778420925140381,0.0
1034,30,28,106.75,3.4207208156585693,False,0,0.0,5.555475234985352,0.0
1062,31,28,96.875,3.4065496921539307,True,0,0.0,4.8749613761901855,0.0
1110,32,48,46.75,7.222638845443726,False,0,0.0,5.601441860198975,0.0
1142,33,32,128.0,4.2800843715667725,True,0,0.0,5.0986762046813965,0.0
1182,34,40,133.5,5.558891534805298,False,0,0.0,6.298747539520264,0.0
1204,35,22,68.75,2.675482988357544,False,0,0.0,4.717517852783203,0.0
1255,36,51,82.5,8.044054985046387,False,0,0.0,4.075196743011475,0.0
1279,37,24,96.5,2.481269121170044,False,0,0.0,3.059845447540283,0.0
1343,38,64,170.75,11.143192768096924,False,0,0.0,4.047054290771484,0.0
1396,39,53,142.75,8.789551734924316,False,0,0.0,3.3450961112976074,0.0
1421,40,25,76.5,3.315166711807251,False,0,0.0,2.776823043823242,0.0
1448,41,27,102.0,3.4634900093078613,False,0,0.0,2.9417619705200195,0.0
1486,42,38,103.6875,4.638540506362915,False,0,0.0,3.0153722763061523,0.0
1515,43,29,107.0,3.526113986968994,False,0,0.0,3.3606536388397217,0.0
1549,44,34,85.125,4.411409854888916,False,0,0.0,3.8556013107299805,0.0
1580,45,31,120.5,3.6763553619384766,True,0,0.0,3.2983336448669434,0.0
1615,46,35,123.125,4.273804664611816,False,0,0.0,2.9207396507263184,0.0
1730,47,115,140.5,31.258530855178833,True,0,0.0,3.131925106048584,0.0
1769,48,39,144.25,5.512912034988403,True,0,0.0,3.4961891174316406,0.0
1796,49,27,99.5,3.3019213676452637,True,0,0.0,3.5266034603118896,0.0
1843,50,47,70.0,7.573150873184204,False,0,0.0,3.3964438438415527,0.0
1879,51,36,137.25,5.089529037475586,True,0,0.0,2.521226167678833,0.0
1918,52,39,99.5625,5.437035799026489,False,0,0.0,2.6201999187469482,0.0
1949,53,31,83.25,3.9873006343841553,False,0,0.0,2.922685146331787,0.0
1974,54,25,59.25,2.557574510574341,False,0,0.0,2.6775691509246826,0.0
1994,55,20,45.0,2.024393081665039,False,0,0.0,3.1421120166778564,0.0
2020,56,26,99.125,3.142517566680908,True,0,0.0,3.5419297218322754,0.0
2049,57,29,112.375,3.5327649116516113,False,0,0.0,3.230875253677368,0.0
2081,58,32,93.75,3.4797186851501465,False,0,0.0,3.220633029937744,0.0
2109,59,28,83.0,3.4678564071655273,False,0,0.0,2.8822720050811768,0.0
2141,60,32,142.625,3.9472789764404297,True,0,0.0,3.1063051223754883,0.0
2158,61,17,64.5,1.5573477745056152,False,0,0.0,2.9550976753234863,0.0
2190,62,32,176.75,3.909430980682373,True,0,0.0,3.0810256004333496,0.0
2210,63,20,119.0,2.409290075302124,False,0,0.0,3.1824357509613037,0.0
2237,64,27,182.75,3.8436644077301025,True,0,0.0,3.082489252090454,0.0
2304,65,67,33.25,33.44360017776489,False,0,0.0,2.9980204105377197,0.0
2328,66,24,145.0,7.64151668548584,True,0,0.0,3.0690577030181885,0.0
2366,67,38,161.75,13.293118476867676,True,0,0.0,3.0045723915100098,0.0
2396,68,30,75.5,6.800308465957642,False,0,0.0,3.081124782562256,0.0
2430,69,34,142.0,4.876711845397949,True,0,0.0,3.047579288482666,0.0
2462,70,32,50.5,4.7677083015441895,False,0,0.0,2.973921298980713,0.0
2495,71,33,78.375,5.562517404556274,True,0,0.0,2.9641237258911133,0.0
2525,72,30,96.5,4.281663656234741,False,0,0.0,3.088996648788452,0.0
2573,73,48,133.25,8.035184860229492,False,0,0.0,3.014708995819092,0.0
2615,74,42,85.5,6.5822365283966064,False,0,0.0,3.036794662475586,0.0
2643,75,28,81.0,3.483952522277832,False,0,0.0,2.9207921028137207,0.0
2686,76,43,137.5,7.410830736160278,True,0,0.0,3.0437979698181152,0.0
2709,77,23,60.5,2.4941442012786865,False,0,0.0,3.1981983184814453,0.0
2747,78,38,119.75,5.043606758117676,False,0,0.0,3.1691174507141113,0.0
2784,79,37,115.25,5.9151291847229,False,0,0.0,2.869684934616089,0.0
2840,80,56,90.0,8.820042371749878,False,0,0.0,2.988147258758545,0.0
2883,81,43,77.5,6.809365510940552,False,0,0.0,2.855384588241577,0.0
2915,82,32,99.75,4.998783349990845,False,0,0.0,3.405393600463867,0.0
3013,83,98,132.625,23.030187368392944,False,0,0.0,3.1791563034057617,0.0
3046,84,33,122.0,4.0955963134765625,True,0,0.0,3.155653953552246,0.0
3094,85,48,64.6875,7.536478281021118,False,0,0.0,3.102681875228882,0.0
3182,86,88,38.5,18.61156392097473,False,0,0.0,3.0700080394744873,0.0
3211,87,29,82.0,4.153768539428711,False,0,0.0,3.22450852394104,0.0
3234,88,23,90.5,3.3515613079071045,True,0,0.0,3.2416889667510986,0.0
3261,89,27,101.25,3.8602986335754395,False,0,0.0,3.326166868209839,0.0
3294,90,33,51.5,5.3282506465911865,False,0,0.0,3.113999843597412,0.0
3325,91,31,175.875,4.755493879318237,True,0,0.0,3.043789863586426,0.0
3381,92,56,58.0,10.069208145141602,False,0,0.0,3.224111557006836,0.0
3428,93,47,108.75,7.36874794960022,False,0,0.0,3.326738119125366,0.0
3459,94,31,112.0,4.011088132858276,True,0,0.0,3.1690099239349365,0.0
3485,95,26,34.5,3.571751356124878,False,0,0.0,3.2489383220672607,0.0
3535,96,50,61.25,8.674307823181152,False,0,0.0,3.3359005451202393,0.0
3564,97,29,118.0,3.6444127559661865,False,0,0.0,3.1603922843933105,0.0
3593,98,29,111.25,4.200507879257202,True,0,0.0,3.078031539916992,0.0
3632,99,39,25.375,6.087514162063599,False,0,0.0,3.200247287750244,0.0
3673,100,41,145.375,7.642862796783447,False,0,0.0,3.165497064590454,0.0
3705,101,32,78.5,4.849297523498535,False,0,0.0,3.1076388359069824,0.0
3736,102,31,104.5,3.8823459148406982,False,0,0.0,3.1061508655548096,0.0
3770,103,34,73.3125,5.177526473999023,False,0,0.0,3.1532492637634277,0.0
3816,104,46,65.0,7.830048322677612,False,0,0.0,3.2680304050445557,0.0
3846,105,30,112.0,3.7421810626983643,True,0,0.0,3.1462321281433105,0.0
3880,106,34,92.25,5.038235187530518,False,0,0.0,3.161716938018799,0.0
3926,107,46,76.25,7.867987871170044,False,0,0.0,3.012800931930542,0.0
3952,108,26,143.75,3.473228693008423,False,0,0.0,3.1956984996795654,0.0
4006,109,54,39.375,9.851072549819946,False,0,0.0,3.3196277618408203,0.0
4036,110,30,88.125,4.46204400062561,False,0,0.0,3.392726182937622,0.0
4093,111,57,48.25,11.998676538467407,False,0,0.0,3.271066188812256,0.0
4118,112,25,105.625,3.3274903297424316,False,0,0.0,3.306368827819824,0.0
4152,113,34,161.5,5.270195960998535,False,0,0.0,3.325486898422241,0.0
4197,114,45,69.5,6.939140319824219,False,0,0.0,3.21551513671875,0.0
4225,115,28,107.5,3.9227588176727295,False,0,0.0,3.1880593299865723,0.0
4258,116,33,106.5,4.794496297836304,False,0,0.0,3.274998903274536,0.0
4304,117,46,104.75,7.222478866577148,False,0,0.0,3.2110018730163574,0.0
4341,118,37,45.25,5.180058479309082,False,0,0.0,3.3319153785705566,0.0
4369,119,28,54.0,3.4591643810272217,True,0,0.0,3.332036018371582,0.0
4402,120,33,82.5,4.829596042633057,False,0,0.0,3.3444204330444336,0.0
4440,121,38,195.75,5.774950981140137,False,0,0.0,3.169088363647461,0.0
4496,122,56,37.25,11.611236572265625,False,0,0.0,3.5873608589172363,0.0
4531,123,35,81.25,5.637024402618408,False,0,0.0,3.1144638061523438,0.0
4580,124,49,187.5,8.174562454223633,False,0,0.0,3.2398345470428467,0.0
4647,125,67,110.0,13.237619638442993,False,0,0.0,3.2100982666015625,0.0
4698,126,51,57.0,8.123092889785767,False,0,0.0,3.2700417041778564,0.0
4744,127,46,132.0,7.815253257751465,True,0,0.0,3.129265785217285,0.0
4780,128,36,101.125,4.772964954376221,True,0,0.0,3.185429096221924,0.0
4809,129,29,144.0,4.172645568847656,True,0,0.0,3.141045093536377,0.0
4895,130,86,91.25,20.52371859550476,True,0,0.0,3.356640577316284,0.0
4950,131,55,140.5,9.83731460571289,True,0,0.0,3.2322981357574463,0.0
4978,132,28,27.5,4.117915391921997,False,0,0.0,3.166487693786621,0.0
5048,133,70,100.75,14.230314016342163,True,0,0.0,3.3683528900146484,0.0
5090,134,42,90.75,6.64534330368042,False,0,0.0,3.3372128009796143,0.0
5133,135,43,137.5,6.96501612663269,True,0,0.0,3.3002450466156006,0.0
5191,136,58,117.5,10.112027406692505,False,0,0.0,3.3629114627838135,0.0
5220,137,29,75.75,3.4540255069732666,False,0,0.0,3.34389066696167,0.0
5260,138,40,118.0,7.1548731327056885,True,0,0.0,3.4205737113952637,0.0
5290,139,30,171.75,4.751207590103149,True,0,0.0,3.3772988319396973,0.0
5326,140,36,104.25,4.585780620574951,False,0,0.0,3.3624138832092285,0.0
5363,141,37,64.125,5.54263973236084,False,0,0.0,3.481255531311035,0.0
5413,142,50,42.5,9.036001205444336,False,0,0.0,3.3902158737182617,0.0
5454,143,41,85.75,6.890887975692749,False,0,0.0,3.399038314819336,0.0
5480,144,26,69.0,3.0670130252838135,False,0,0.0,3.348661422729492,0.0
5517,145,37,114.375,5.6476171016693115,False,0,0.0,3.4867353439331055,0.0
5541,146,24,97.25,2.714876651763916,True,0,0.0,3.4032483100891113,0.0
5573,147,32,157.625,4.557096719741821,True,0,0.0,3.2992496490478516,0.0
5603,148,30,105.75,3.751671552658081,True,0,0.0,3.4888839721679688,0.0
5628,149,25,70.375,3.6016652584075928,False,0,0.0,3.3663907051086426,0.0
5654,150,26,119.5,3.0165162086486816,False,0,0.0,3.347743511199951,0.0
5712,151,58,101.0,11.918061256408691,False,0,0.0,3.4369444847106934,0.0
5738,152,26,46.75,3.056300401687622,False,0,0.0,3.3331964015960693,0.0
5776,153,38,149.5,5.279826402664185,False,0,0.0,3.321338176727295,0.0
5802,154,26,92.75,2.998323440551758,False,0,0.0,3.4060323238372803,0.0
5850,155,48,114.25,8.656407356262207,False,0,0.0,3.2731871604919434,0.0
5876,156,26,107.5,3.0454440116882324,False,0,0.0,3.346101999282837,0.0
5907,157,31,70.0,4.04723048210144,False,0,0.0,3.2846786975860596,0.0
5983,158,76,30.0,15.885465860366821,True,0,0.0,3.404923677444458,0.0
6043,159,60,90.5,11.705838680267334,False,0,0.0,3.4358034133911133,0.0
6113,160,70,54.25,16.72948384284973,True,0,0.0,3.4630768299102783,0.0
6164,161,51,53.5,8.561812162399292,True,0,0.0,3.449202537536621,0.0
6205,162,41,164.25,6.230483770370483,False,0,0.0,3.3950681686401367,0.0
6240,163,35,150.0,5.863065481185913,False,0,0.0,3.534940719604492,0.0
