total_steps,episode,episode_steps,episode_reward,episode_time,win,repeated,loss,epsilon,intrinsic_reward
48,1,48,10.8209628206179,11.605452537536621,False,0,4.7706618309021,0.0,0.0
74,2,26,7.132377784763877,3.0149593353271484,False,0,5.953324317932129,0.0,0.0
109,3,35,11.71612365225894,7.481414794921875,True,0,3.414199113845825,0.0,0.0
143,4,34,8.457883122542956,11.283868789672852,True,0,3.874739646911621,0.0,0.0
184,5,41,12.767744548811393,13.680043935775757,False,0,5.117775917053223,0.0,0.0
226,6,42,8.362390385415575,13.949923753738403,True,0,2.5604357719421387,0.0,0.0
262,7,36,14.61091557171958,10.50912094116211,False,0,2.966081142425537,0.0,0.0
290,8,28,8.507080684407331,7.680222272872925,True,0,3.8937933444976807,0.0,0.0
322,9,32,11.120945594878574,10.831907749176025,False,0,5.914856910705566,0.0,0.0
351,10,29,10.087181530070888,8.768467903137207,True,0,6.114431381225586,0.0,0.0
399,11,48,17.68881472168738,6.690359354019165,False,0,4.039318084716797,0.0,0.0
424,12,25,8.323807070923747,2.7723984718322754,False,0,5.155388832092285,0.0,0.0
445,13,21,10.315605357228305,2.1246044635772705,True,0,5.254278659820557,0.0,0.0
471,14,26,7.905079879380162,3.1237571239471436,True,0,3.1987464427948,0.0,0.0
505,15,34,8.658054699567739,4.509803295135498,False,0,4.01513147354126,0.0,0.0
535,16,30,11.577199145724014,8.459558725357056,True,0,2.950807571411133,0.0,0.0
562,17,27,6.6489424405029505,7.426481485366821,False,0,3.733358383178711,0.0,0.0
606,18,44,10.01613434813918,14.539325952529907,True,0,3.5563313961029053,0.0,0.0
643,19,37,12.35185403137174,12.161126613616943,True,0,4.755707740783691,0.0,0.0
675,20,32,8.524615166003331,9.530987739562988,False,0,4.283452987670898,0.0,0.0
710,21,35,12.904222059145425,11.305369138717651,True,0,3.539522647857666,0.0,0.0
741,22,31,8.836042619519525,9.338943004608154,True,0,4.186862468719482,0.0,0.0
774,23,33,6.9664111244751314,9.693464517593384,False,0,5.644525527954102,0.0,0.0
