total_steps,episode,episode_steps,episode_reward,episode_time,win,timestamp,repeated,loss,epsilon,intrinsic_reward
38,1,38,2.0,3.883486747741699,False,2025-10-25 11:27:21,0,5.764923095703125,0.99963037,0.0
78,2,40,4.0,5.151721954345703,False,2025-10-25 11:27:27,0,0.9320536255836488,0.99923077,0.0
118,3,40,5.0,4.885584354400635,False,2025-10-25 11:27:32,0,1.2865861654281616,0.99883117,0.0
211,4,93,5.0,18.038683652877808,False,2025-10-25 11:27:51,0,0.4404240548610687,0.9979021,0.0
242,5,31,1.0,4.696441650390625,False,2025-10-25 11:27:56,0,0.4018917679786682,0.99759241,0.0
278,6,36,4.0,4.766667127609253,False,2025-10-25 11:28:02,0,0.3543635606765747,0.99723277,0.0
334,7,56,5.0,9.259773969650269,True,2025-10-25 11:28:11,0,1.6592345237731934,0.99667333,0.0
387,8,53,5.0,9.63985800743103,False,2025-10-25 11:28:22,0,3.1800014972686768,0.99614386,0.0
425,9,38,2.0,5.714416265487671,False,2025-10-25 11:28:28,0,0.3789452910423279,0.99576424,0.0
446,10,21,3.0,2.712345600128174,False,2025-10-25 11:28:31,0,0.9467869997024536,0.99555445,0.0
467,11,21,2.0,2.2923929691314697,False,2025-10-25 11:28:34,0,0.9515679478645324,0.99534466,0.0
512,12,45,3.0,7.14551854133606,False,2025-10-25 11:28:42,0,1.153305172920227,0.99489511,0.0
547,13,35,4.0,4.801271438598633,False,2025-10-25 11:28:48,0,0.4392936825752258,0.99454546,0.0
576,14,29,1.0,3.5641098022460938,False,2025-10-25 11:28:52,0,0.2754549980163574,0.99425575,0.0
614,15,38,6.0,5.762324094772339,False,2025-10-25 11:28:58,0,1.5532894134521484,0.99387613,0.0
647,16,33,4.0,4.57099175453186,False,2025-10-25 11:29:03,0,1.101305603981018,0.99354646,0.0
690,17,43,4.0,6.727099657058716,False,2025-10-25 11:29:11,0,1.0062216520309448,0.99311689,0.0
717,18,27,4.0,3.258239507675171,True,2025-10-25 11:29:14,0,0.390542209148407,0.99284716,0.0
750,19,33,4.0,4.4783124923706055,False,2025-10-25 11:29:19,0,0.5182554125785828,0.99251749,0.0
790,20,40,1.0,6.595742225646973,False,2025-10-25 11:29:27,0,0.8159032464027405,0.99211789,0.0
837,21,47,4.0,7.055442333221436,True,2025-10-25 11:29:35,0,1.2134709358215332,0.99164836,0.0
862,22,25,1.0,3.4525022506713867,False,2025-10-25 11:29:39,0,0.852188229560852,0.99139861,0.0
887,23,25,3.0,3.2300124168396,False,2025-10-25 11:29:42,0,0.2546862661838531,0.99114886,0.0
915,24,28,2.0,3.597763061523437,False,2025-10-25 11:29:47,0,0.266675740480423,0.99086914,0.0
952,25,37,4.0,5.496114015579224,False,2025-10-25 11:29:53,0,0.2278242260217666,0.99049951,0.0
997,26,45,3.0,7.328049898147583,True,2025-10-25 11:30:01,0,0.3011481463909149,0.99004996,0.0
1021,27,24,2.0,64.16583824157715,False,2025-10-25 11:31:06,0,0.2702874541282654,0.9898102,0.0
1061,28,40,4.0,7.228185653686523,True,2025-10-25 11:31:14,0,0.1952978074550628,0.9894106,0.0
1093,29,32,4.0,4.748065710067749,False,2025-10-25 11:31:20,0,0.4633552134037018,0.98909092,0.0
1129,30,36,3.0,6.846597194671631,False,2025-10-25 11:31:27,0,0.3908998370170593,0.98873128,0.0
1170,31,41,7.0,7.733520030975342,True,2025-10-25 11:31:36,0,0.3709947764873504,0.98832169,0.0
1199,32,29,2.0,4.741524934768677,False,2025-10-25 11:31:41,0,0.9229077100753784,0.98803198,0.0
