total_steps,episode,episode_steps,episode_reward,episode_time,win,repeated,intrinsic_reward,loss,epsilon
23,1,23,5.999999999999999,1.9039924144744873,True,0,0.0,,
62,2,39,4.43,3.5733039379119873,False,0,0.0,7.030715465545654,0.0
100,3,38,2.980000000000001,3.8172523975372314,False,0,0.0,5.450372219085693,0.0
123,4,23,2.3500000000000005,2.076894521713257,False,0,0.0,6.377703666687012,0.0
154,5,31,1.9700000000000004,2.7143516540527344,False,0,0.0,7.2382612228393555,0.0
189,6,35,6.0,4.163701772689819,True,0,0.0,6.636454105377197,0.0
230,7,41,3.0,8.306095838546753,False,0,0.0,6.835979461669922,0.0
260,8,30,5.0,6.567233324050903,False,0,0.0,5.64482307434082,0.0
298,9,38,6.0,11.348169326782227,True,0,0.0,7.093047142028809,0.0
333,10,35,3.0000000000000004,10.528520584106445,False,0,0.0,6.927391529083252,0.0
397,11,64,6.000000000000001,19.389277935028076,True,0,0.0,6.54302453994751,0.0
443,12,46,2.8600000000000003,4.534700632095337,False,0,0.0,7.230878829956055,0.0
475,13,32,5.1,2.8705146312713623,False,0,0.0,7.237551689147949,0.0
505,14,30,3.4900000000000007,2.6805355548858643,False,0,0.0,7.230568885803223,0.0
575,15,70,5.88,10.220602750778198,False,0,0.0,7.236171722412109,0.0
653,16,78,6.0,11.98880910873413,True,0,0.0,7.2341179847717285,0.0
677,17,24,4.11,2.1934621334075928,False,0,0.0,7.235091209411621,0.0
696,18,19,0.36,1.4201810359954834,False,0,0.0,7.232298851013184,0.0
730,19,34,4.48,3.754861354827881,False,0,0.0,7.22874641418457,0.0
771,20,41,5.250000000000002,4.678189992904663,False,0,0.0,7.224159240722656,0.0
792,21,21,2.5300000000000002,2.240257978439331,False,0,0.0,7.2308349609375,0.0
840,22,48,4.639999999999999,5.835760831832886,False,0,0.0,7.222960948944092,0.0
875,23,35,1.4200000000000002,3.2467122077941895,False,0,0.0,7.229387283325195,0.0
907,24,32,4.52,3.017242193222046,False,0,0.0,7.237978935241699,0.0
954,25,47,6.0,5.185161590576172,True,0,0.0,7.234491348266602,0.0
988,26,34,5.71,3.156290054321289,False,0,0.0,7.225158214569092,0.0
1016,27,28,2.49,2.4504597187042236,False,0,0.0,4.2488837242126465,0.0
1041,28,25,4.6,1.9881541728973389,False,0,0.0,4.1228556632995605,0.0
1117,29,76,5.999999999999999,11.77489185333252,True,0,0.0,4.310187816619873,0.0
1143,30,26,1.0199999999999996,2.4115381240844727,False,0,0.0,4.5913496017456055,0.0
1174,31,31,6.000000000000001,2.77250337600708,True,0,0.0,4.135384559631348,0.0
1217,32,43,5.4,4.085745334625244,False,0,0.0,3.9809608459472656,0.0
1243,33,26,6.0,2.3464455604553223,True,0,0.0,4.119784355163574,0.0
1283,34,40,5.57,4.146822214126587,False,0,0.0,4.239148139953613,0.0
1306,35,23,3.7800000000000002,1.663680076599121,False,0,0.0,3.7384490966796875,0.0
1342,36,36,4.0600000000000005,3.717477560043335,False,0,0.0,4.156901836395264,0.0
1379,37,37,6.0,4.14655613899231,True,0,0.0,4.356936454772949,0.0
1415,38,36,3.809999999999999,3.939094066619873,False,0,0.0,4.0768232345581055,0.0
1448,39,33,2.8200000000000003,3.475952625274658,False,0,0.0,3.8367488384246826,0.0
1486,40,38,5.840000000000001,4.16956639289856,False,0,0.0,4.119525909423828,0.0
1528,41,42,3.34,3.965596914291382,False,0,0.0,4.070393085479736,0.0
1568,42,40,5.42,4.069424390792847,False,0,0.0,4.070958137512207,0.0
1598,43,30,6.0,2.70843505859375,True,0,0.0,4.0705976486206055,0.0
1631,44,33,6.0,3.0703201293945312,True,0,0.0,4.226455211639404,0.0
1658,45,27,5.999999999999999,2.3323581218719482,True,0,0.0,3.996521234512329,0.0
1682,46,24,3.79,1.7524745464324951,False,0,0.0,4.060915470123291,0.0
1735,47,53,5.48,6.241332292556763,False,0,0.0,4.0262603759765625,0.0
1774,48,39,5.13,3.773338794708252,False,0,0.0,4.468579292297363,0.0
1810,49,36,4.119999999999999,3.8413407802581787,False,0,0.0,3.93288516998291,0.0
1843,50,33,3.0,3.106693983078003,False,0,0.0,4.054156303405762,0.0
1874,51,31,6.0,2.849609136581421,True,0,0.0,4.163191795349121,0.0
1918,52,44,3.920000000000001,4.155568361282349,False,0,0.0,4.5381598472595215,0.0
1963,53,45,4.010000000000001,4.588289737701416,False,0,0.0,4.308556079864502,0.0
1992,54,29,5.989999999999998,2.6039299964904785,False,0,0.0,4.370087623596191,0.0
2025,55,33,4.8100000000000005,3.1506383419036865,False,0,0.0,4.167454719543457,0.0
2055,56,30,2.9999999999999996,3.3795876502990723,False,0,0.0,4.439393043518066,0.0
2109,57,54,6.0,7.1595118045806885,True,0,0.0,4.21168327331543,0.0
2132,58,23,2.26,2.4272944927215576,False,0,0.0,4.186267375946045,0.0
2156,59,24,4.0,2.1516518592834473,False,0,0.0,4.242166519165039,0.0
2182,60,26,6.0,2.0159833431243896,True,0,0.0,4.151527404785156,0.0
2214,61,32,1.55,3.02587628364563,False,0,0.0,3.991905450820923,0.0
2253,62,39,6.0,3.8378100395202637,True,0,0.0,4.152410984039307,0.0
2353,63,100,5.999999999999998,17.86519980430603,True,0,0.0,4.303442478179932,0.0
2390,64,37,4.0,3.6157875061035156,False,0,0.0,4.395543575286865,0.0
2416,65,26,4.0,2.676715135574341,False,0,0.0,4.511745452880859,0.0
2486,66,70,6.0,9.875755310058594,True,0,0.0,3.983173131942749,0.0
2517,67,31,6.000000000000001,3.01474928855896,True,0,0.0,4.146786212921143,0.0
2539,68,22,6.0,1.5323867797851562,True,0,0.0,4.264731407165527,0.0
2574,69,35,3.4499999999999997,3.412872314453125,False,0,0.0,4.235623359680176,0.0
2606,70,32,6.000000000000001,3.4264538288116455,True,0,0.0,4.253832817077637,0.0
2701,71,95,4.28,18.27706813812256,False,0,0.0,4.322772979736328,0.0
2724,72,23,1.7600000000000002,2.381115198135376,False,0,0.0,3.9701766967773438,0.0
2777,73,53,6.0,7.334125280380249,True,0,0.0,4.085943222045898,0.0
2825,74,48,6.000000000000002,5.927280902862549,True,0,0.0,4.036643981933594,0.0
2851,75,26,6.0,2.3087003231048584,False,0,0.0,4.310507297515869,0.0
2933,76,82,5.97,13.84331750869751,False,0,0.0,4.13205623626709,0.0
