total_steps,episode,episode_steps,episode_reward,episode_time,win,timestamp,repeated,intrinsic_reward,loss,epsilon
31,1,31,-1.0,5.447555065155029,False,2025-10-25 13:48:21,0,0.0,,
64,2,33,-1.0,4.23005747795105,False,2025-10-25 13:48:26,0,0.0,65.36093139648438,0.99937063
111,3,47,-1.0,6.3209168910980225,False,2025-10-25 13:48:32,0,0.0,10.303583145141602,0.9989011
146,4,35,-1.0,4.683470964431763,False,2025-10-25 13:48:37,0,0.0,11.120287895202637,0.99855145
181,5,35,-1.0,6.285883665084839,False,2025-10-25 13:48:44,0,0.0,16.10523223876953,0.9982018
217,6,36,-1.0,6.1631879806518555,False,2025-10-25 13:48:51,0,0.0,114.81175994873047,0.99784216
247,7,30,-1.0,4.82207989692688,False,2025-10-25 13:48:57,0,0.0,179.84982299804688,0.99754246
297,8,50,-1.0,10.180014371871948,False,2025-10-25 13:49:08,0,0.0,494.2098083496094,0.99704296
321,9,24,-1.0,3.390005588531494,False,2025-10-25 13:49:12,0,0.0,149.23243713378906,0.9968032
340,10,19,-1.0,2.722712516784668,False,2025-10-25 13:49:15,0,0.0,184.94000244140625,0.99661339
375,11,35,-1.0,6.302920579910278,False,2025-10-25 13:49:22,0,0.0,302.0986633300781,0.99626374
419,12,44,-1.0,10.306212663650513,False,2025-10-25 13:49:34,0,0.0,370.05291748046875,0.99582418
445,13,26,-1.0,4.940937757492065,False,2025-10-25 13:49:39,0,0.0,236.65756225585938,0.99556444
480,14,35,-1.0,6.553410768508911,False,2025-10-25 13:49:47,0,0.0,435.98663330078125,0.99521479
521,15,41,-1.0,7.337188005447388,False,2025-10-25 13:49:55,0,0.0,591.371826171875,0.9948052000000001
549,16,28,-1.0,3.6049323081970215,False,2025-10-25 13:49:59,0,0.0,987.7941284179688,0.99452548
573,17,24,-1.0,3.103584051132202,False,2025-10-25 13:50:03,0,0.0,1072.956298828125,0.99428572
636,18,63,1.0,13.509677410125732,True,2025-10-25 13:50:17,0,0.0,1251.759033203125,0.99365635
701,19,65,-1.0,13.76134204864502,False,2025-10-25 13:50:31,0,0.0,1934.94384765625,0.993007
729,20,28,-1.0,3.8250186443328857,False,2025-10-25 13:50:36,0,0.0,2020.6241455078125,0.99272728
782,21,53,1.0,9.040918111801147,True,2025-10-25 13:50:45,0,0.0,3214.998046875,0.99219781
812,22,30,-1.0,3.905881643295288,False,2025-10-25 13:50:50,0,0.0,4580.7275390625,0.99189811
863,23,51,-1.0,9.10454511642456,False,2025-10-25 13:50:59,0,0.0,7179.7666015625,0.99138862
888,24,25,-1.0,3.1118733882904053,False,2025-10-25 13:51:03,0,0.0,9524.42578125,0.99113887
930,25,42,-1.0,6.577806711196899,False,2025-10-25 13:51:10,0,0.0,20467.759765625,0.99071929
958,26,28,-1.0,3.733639717102051,False,2025-10-25 13:51:15,0,0.0,18342.3515625,0.99043957
1000,27,42,-1.0,63.88011717796326,False,2025-10-25 13:51:24,0,0.0,23650.388671875,0.99001999
1025,28,25,-1.0,3.976381301879883,False,2025-10-25 13:52:24,0,0.0,22522.47265625,0.98977024
1065,29,40,-1.0,6.782723903656006,False,2025-10-25 13:52:32,0,0.0,33401.96484375,0.98937064
1098,30,33,-1.0,5.987546682357788,False,2025-10-25 13:52:38,0,0.0,45462.4921875,0.98904097
1126,31,28,-1.0,4.848076820373535,False,2025-10-25 13:52:45,0,0.0,63678.46484375,0.98876125
1163,32,37,-1.0,6.948980331420898,False,2025-10-25 13:52:52,0,0.0,86337.2890625,0.98839162
1185,33,22,-1.0,2.792166233062744,False,2025-10-25 13:52:56,0,0.0,64843.19140625,0.98817184
1220,34,35,1.0,5.610203981399536,True,2025-10-25 13:53:02,0,0.0,82520.5859375,0.98782219
1245,35,25,-1.0,4.799140930175781,False,2025-10-25 13:53:08,0,0.0,88002.8359375,0.98757244
1274,36,29,-1.0,5.599410772323608,False,2025-10-25 13:53:14,0,0.0,120841.59375,0.98728273
1296,37,22,-1.0,5.477162599563599,False,2025-10-25 13:53:21,0,0.0,143905.84375,0.98706295
1331,38,35,-1.0,9.265967845916748,False,2025-10-25 13:53:32,0,0.0,245358.25,0.9867133
1358,39,27,-1.0,5.673288106918335,False,2025-10-25 13:53:39,0,0.0,255803.53125,0.98644357
1386,40,28,-1.0,5.824169635772705,False,2025-10-25 13:53:46,0,0.0,180108.0625,0.98616385
1408,41,22,-1.0,4.0773704051971436,False,2025-10-25 13:53:51,0,0.0,275711.875,0.98594407
1442,42,34,-1.0,6.194216251373291,False,2025-10-25 13:53:58,0,0.0,203980.140625,0.98560441
1484,43,42,-1.0,8.590579509735107,False,2025-10-25 13:54:07,0,0.0,281150.59375,0.98518483
1530,44,46,-1.0,8.926324367523193,False,2025-10-25 13:54:17,0,0.0,595083.0,0.98472529
1598,45,68,1.0,17.06814217567444,True,2025-10-25 13:54:35,0,0.0,359198.5,0.98404597
1636,46,38,-1.0,6.247312307357788,False,2025-10-25 13:54:42,0,0.0,628711.625,0.98366635
1686,47,50,-1.0,13.684406518936157,False,2025-10-25 13:54:56,0,0.0,963875.5625,0.98316685
1771,48,85,-1.0,22.67741584777832,False,2025-10-25 13:55:20,0,0.0,1306143.0,0.9823177
1802,49,31,-1.0,4.19348406791687,False,2025-10-25 13:55:25,0,0.0,690288.0,0.98200801
1819,50,17,-1.0,2.1612868309020996,False,2025-10-25 13:55:28,0,0.0,1040076.0,0.98183818
1868,51,49,-1.0,8.438295841217041,False,2025-10-25 13:55:38,0,0.0,1379880.75,0.98134867
1890,52,22,-1.0,2.3241474628448486,False,2025-10-25 13:55:41,0,0.0,1097022.75,0.98112889
1924,53,34,-1.0,4.614686965942383,False,2025-10-25 13:55:47,0,0.0,1124149.5,0.98078923
2038,54,114,-1.0,86.1522855758667,False,2025-10-25 13:57:14,0,0.0,2648646.5,0.97965037
2080,55,42,-1.0,6.767498016357422,False,2025-10-25 13:57:21,0,0.0,1831919.25,0.97923079
2107,56,27,-1.0,3.597963809967041,False,2025-10-25 13:57:26,0,0.0,1339997.75,0.97896106
2130,57,23,-1.0,3.082284927368164,False,2025-10-25 13:57:29,0,0.0,2514000.0,0.97873129
2182,58,52,-1.0,9.606616973876953,False,2025-10-25 13:57:40,0,0.0,3475942.75,0.97821181
2214,59,32,-1.0,4.542928457260132,False,2025-10-25 13:57:45,0,0.0,2712003.0,0.97789213
2246,60,32,-1.0,3.9547202587127686,False,2025-10-25 13:57:50,0,0.0,3499911.5,0.97757245
2273,61,27,-1.0,3.579995632171631,False,2025-10-25 13:57:54,0,0.0,3836895.25,0.97730272
2337,62,64,1.0,13.041725873947144,True,2025-10-25 13:58:07,0,0.0,4195738.0,0.97666336
2375,63,38,-1.0,5.929566383361816,False,2025-10-25 13:58:14,0,0.0,25607484.0,0.97628374
2431,64,56,1.0,10.13562560081482,True,2025-10-25 13:58:25,0,0.0,14728002.0,0.9757243
2457,65,26,-1.0,3.5349864959716797,False,2025-10-25 13:58:29,0,0.0,18285966.0,0.97546456
2498,66,41,1.0,6.555346488952637,True,2025-10-25 13:58:36,0,0.0,28301844.0,0.97505497
2527,67,29,-1.0,3.930739164352417,False,2025-10-25 13:58:41,0,0.0,34083104.0,0.97476526
2556,68,29,-1.0,3.8326263427734375,False,2025-10-25 13:58:45,0,0.0,36448272.0,0.97447555
2625,69,69,-1.0,15.175983905792236,False,2025-10-25 13:59:01,0,0.0,35252508.0,0.97378624
2753,70,128,-1.0,47.08019304275513,False,2025-10-25 13:59:49,0,0.0,29942840.0,0.97250752
2789,71,36,-1.0,6.607426404953003,False,2025-10-25 13:59:56,0,0.0,38717976.0,0.97214788
2827,72,38,-1.0,6.956251382827759,False,2025-10-25 14:00:04,0,0.0,26546636.0,0.97176826
2861,73,34,-1.0,4.6287760734558105,False,2025-10-25 14:00:09,0,0.0,37186064.0,0.9714286
2894,74,33,-1.0,4.616370439529419,False,2025-10-25 14:00:15,0,0.0,36844748.0,0.97109893
2916,75,22,-1.0,2.984187602996826,False,2025-10-25 14:00:18,0,0.0,37454588.0,0.97087915
2954,76,38,-1.0,6.959045886993408,False,2025-10-25 14:00:26,0,0.0,64272068.0,0.97049953
3029,77,75,-1.0,69.38118577003479,False,2025-10-25 14:01:36,0,0.0,55446876.0,0.96975028
3056,78,27,-1.0,3.8935763835906982,False,2025-10-25 14:01:41,0,0.0,43527056.0,0.96948055
3082,79,26,-1.0,3.1062893867492676,False,2025-10-25 14:01:44,0,0.0,47937100.0,0.96922081
3109,80,27,-1.0,3.560703992843628,False,2025-10-25 14:01:49,0,0.0,47811408.0,0.96895108
3168,81,59,1.0,11.90143632888794,True,2025-10-25 14:02:01,0,0.0,52089116.0,0.96836167
3212,82,44,-1.0,6.614766836166382,False,2025-10-25 14:02:08,0,0.0,86971544.0,0.96792211
