total_steps,episode,episode_steps,episode_reward,episode_time,win,timestamp,repeated,loss,epsilon,intrinsic_reward
39,1,39,-1.4000000000000001,7.435905456542969,False,2025-10-25 13:48:45,0,26.785127639770508,0.99962038,0.0
73,2,34,-1.3,5.687081336975098,False,2025-10-25 13:48:51,0,13.834308624267578,0.99928072,0.0
128,3,55,1.1,13.072240829467773,True,2025-10-25 13:49:05,0,70.91927337646484,0.99873127,0.0
164,4,36,-1.2000000000000002,5.3339080810546875,False,2025-10-25 13:49:11,0,17.842329025268555,0.99837163,0.0
184,5,20,-1.5,2.542527437210083,False,2025-10-25 13:49:14,0,32.23590850830078,0.99817183,0.0
213,6,29,-1.3,4.3052191734313965,False,2025-10-25 13:49:19,0,63.2110595703125,0.99788212,0.0
253,7,40,-1.1,8.83734679222107,False,2025-10-25 13:49:29,0,121.10347747802734,0.99748252,0.0
285,8,32,-1.2000000000000002,6.232951641082764,False,2025-10-25 13:49:36,0,50.93670654296875,0.99716284,0.0
330,9,45,-1.2000000000000002,9.934216022491455,False,2025-10-25 13:49:47,0,13.101542472839355,0.99671329,0.0
365,10,35,-1.4000000000000001,5.467711687088013,False,2025-10-25 13:49:54,0,11.431106567382812,0.99636364,0.0
401,11,36,-1.6,5.60528564453125,False,2025-10-25 13:50:00,0,20.775300979614258,0.996004,0.0
439,12,38,-1.3,5.422373294830322,False,2025-10-25 13:50:06,0,15.88270092010498,0.99562438,0.0
498,13,59,-1.3,11.442967176437378,False,2025-10-25 13:50:18,0,22.10778045654297,0.99503497,0.0
535,14,37,1.1,5.450048923492432,True,2025-10-25 13:50:24,0,28.872730255126953,0.99466534,0.0
568,15,33,-1.2,4.264483213424683,False,2025-10-25 13:50:29,0,59.32673645019531,0.99433567,0.0
594,16,26,-1.2,3.2647342681884766,False,2025-10-25 13:50:33,0,36.74505615234375,0.99407593,0.0
615,17,21,-1.3,2.6098215579986572,False,2025-10-25 13:50:36,0,44.28168869018555,0.99386614,0.0
645,18,30,-1.3,3.9618172645568848,False,2025-10-25 13:50:41,0,39.71266174316406,0.99356644,0.0
686,19,41,-1.4000000000000001,6.361632585525513,False,2025-10-25 13:50:48,0,40.025604248046875,0.99315685,0.0
716,20,30,1.4000000000000001,3.96169114112854,True,2025-10-25 13:50:52,0,45.12725830078125,0.99285715,0.0
767,21,51,-1.2000000000000002,8.923470258712769,False,2025-10-25 13:51:02,0,63.994606018066406,0.99234766,0.0
791,22,24,-1.5,3.144968032836914,False,2025-10-25 13:51:06,0,45.790489196777344,0.9921079,0.0
817,23,26,1.2000000000000002,2.9278414249420166,True,2025-10-25 13:51:09,0,56.557071685791016,0.99184816,0.0
866,24,49,-1.2000000000000002,8.873406648635864,False,2025-10-25 13:51:19,0,50.08855438232422,0.99135865,0.0
910,25,44,-1.1,9.033167600631714,False,2025-10-25 13:51:29,0,64.54158782958984,0.99091909,0.0
950,26,40,-1.4000000000000001,7.086945533752441,False,2025-10-25 13:51:36,0,75.95614624023438,0.99051949,0.0
990,27,40,1.1,7.2987260818481445,True,2025-10-25 13:51:44,0,157.73568725585938,0.99011989,0.0
1029,28,39,-1.4000000000000001,70.98189902305603,False,2025-10-25 13:52:56,0,117.38291931152344,0.98973028,0.0
1069,29,40,1.3,7.164644956588745,True,2025-10-25 13:53:04,0,132.44558715820312,0.98933068,0.0
1109,30,40,-1.5,10.073329448699951,False,2025-10-25 13:53:15,0,102.09072875976562,0.98893108,0.0
1149,31,40,-1.3,12.504029035568237,False,2025-10-25 13:53:28,0,63.41067123413086,0.98853148,0.0
1171,32,22,-1.4000000000000001,4.180054187774658,False,2025-10-25 13:53:34,0,203.12045288085938,0.9883117,0.0
1249,33,78,-1.2000000000000002,26.236129999160767,False,2025-10-25 13:54:01,0,140.58364868164062,0.98753248,0.0
1285,34,36,-1.3,6.695111513137817,False,2025-10-25 13:54:09,0,184.2904052734375,0.98717284,0.0
1328,35,43,1.1,7.943402051925659,True,2025-10-25 13:54:18,0,209.36898803710938,0.98674327,0.0
1383,36,55,-1.3,11.970946550369263,False,2025-10-25 13:54:31,0,172.703125,0.98619382,0.0
1412,37,29,-1.4000000000000001,4.761500120162964,False,2025-10-25 13:54:36,0,194.98666381835938,0.98590411,0.0
1447,38,35,-1.3,5.52737021446228,False,2025-10-25 13:54:42,0,416.0836181640625,0.98555446,0.0
1490,39,43,-1.2000000000000002,11.846901178359985,False,2025-10-25 13:54:55,0,368.7462158203125,0.98512489,0.0
