total_steps,episode,episode_steps,episode_reward,episode_time,win,timestamp,repeated,intrinsic_reward,loss,epsilon
25,1,25,-1.1271068594120104,5.568535566329956,False,2025-10-25 18:32:08,0,0.0,,
60,2,35,-1.2184708805406481,7.769980430603027,False,2025-10-25 18:32:17,0,0.0,0.28492042422294617,0.99941059
89,3,29,-1.342015238833504,6.355318069458008,False,2025-10-25 18:32:24,0,0.0,0.29022759199142456,0.99912088
116,4,27,-1.3552637362637363,5.213204860687256,False,2025-10-25 18:32:31,0,0.0,0.24577070772647858,0.99885115
179,5,63,1.6059488036846945,20.516982555389404,True,2025-10-25 18:32:52,0,0.0,0.15909096598625183,0.99822178
215,6,36,-1.6000952148721401,8.645745515823364,False,2025-10-25 18:33:05,0,0.0,0.12755684554576874,0.99786214
240,7,25,-1.8024872074259832,4.9592814445495605,False,2025-10-25 18:33:11,0,0.0,0.12877251207828522,0.99761239
289,8,49,-1.0887406504505481,13.924504041671753,False,2025-10-25 18:33:29,0,0.0,0.11013565957546234,0.99712288
316,9,27,-1.889365613543412,5.168812274932861,False,2025-10-25 18:33:35,0,0.0,0.09519857168197632,0.99685315
356,10,40,-0.921502644703581,9.462932109832764,False,2025-10-25 18:33:46,0,0.0,0.06782963871955872,0.99645355
399,11,43,-1.3315338559807057,7.913764238357544,False,2025-10-25 18:33:55,0,0.0,0.0554787702858448,0.99602398
424,12,25,-1.7142392771121262,2.670720100402832,False,2025-10-25 18:33:59,0,0.0,0.0625753328204155,0.99577423
456,13,32,-1.071429856618531,4.46556282043457,False,2025-10-25 18:34:04,0,0.0,0.07129262387752533,0.99545455
499,14,43,1.3693127665801157,6.5631492137908936,True,2025-10-25 18:34:12,0,0.0,0.1434701383113861,0.99502498
524,15,25,-1.6174549779157104,2.3633410930633545,False,2025-10-25 18:34:16,0,0.0,0.06766144186258316,0.99477523
555,16,31,-1.7835696850131078,3.2342090606689453,False,2025-10-25 18:34:19,0,0.0,0.06451575458049774,0.99446554
601,17,46,-1.2503771225285907,6.161235570907593,False,2025-10-25 18:34:26,0,0.0,0.046355895698070526,0.994006
629,18,28,-1.3115625101083617,3.1647143363952637,False,2025-10-25 18:34:30,0,0.0,0.03819131478667259,0.99372628
657,19,28,-1.343472108378871,2.9945850372314453,False,2025-10-25 18:34:33,0,0.0,0.0474996417760849,0.99344656
706,20,49,1.5321277964390034,6.590634346008301,True,2025-10-25 18:34:40,0,0.0,0.07667730748653412,0.99295705
747,21,41,1.7492195468528504,6.053564548492432,True,2025-10-25 18:34:47,0,0.0,0.11797261238098145,0.99254746
788,22,41,-0.9431575893702041,6.049952268600464,False,2025-10-25 18:34:53,0,0.0,0.06992341578006744,0.99213787
828,23,40,-1.5974689925919563,7.544162034988403,False,2025-10-25 18:35:02,0,0.0,0.05267517268657684,0.99173827
872,24,44,-1.166042171241864,5.9109861850738525,False,2025-10-25 18:35:08,0,0.0,0.08838146179914474,0.99129871
898,25,26,-1.273937514538587,3.93279767036438,False,2025-10-25 18:35:13,0,0.0,0.06340978294610977,0.99103897
944,26,46,-0.8560075223818266,6.442917585372925,False,2025-10-25 18:35:20,0,0.0,0.049817707389593124,0.99057943
1049,27,105,-1.6650478426551552,75.83914399147034,False,2025-10-25 18:36:36,0,0.0,0.06381192058324814,0.98953048
1092,28,43,-1.560912756737844,6.0067925453186035,False,2025-10-25 18:36:43,0,0.0,0.02669818140566349,0.98910091
1132,29,40,-1.1382033979851724,6.768853664398193,False,2025-10-25 18:36:50,0,0.0,0.031541675329208374,0.9887013099999999
1174,30,42,-0.9865713725925475,9.103658437728882,False,2025-10-25 18:37:00,0,0.0,0.03969746455550194,0.98828173
1213,31,39,-1.3329475785118328,7.812338829040527,False,2025-10-25 18:37:09,0,0.0,0.02707555517554283,0.98789212
1248,32,35,-0.9368338545361297,6.8333704471588135,False,2025-10-25 18:37:16,0,0.0,0.05688389018177986,0.98754247
1282,33,34,-1.0215640359694897,6.079897880554199,False,2025-10-25 18:37:23,0,0.0,0.02859083004295826,0.98720281
1319,34,37,-1.4402381561520103,7.697458505630493,False,2025-10-25 18:37:32,0,0.0,0.028088435530662537,0.98683318
1357,35,38,1.5821548896477684,8.64077615737915,True,2025-10-25 18:37:42,0,0.0,0.08962417393922806,0.98645356
1391,36,34,-1.6527374779763402,5.792933225631714,False,2025-10-25 18:37:49,0,0.0,0.042102113366127014,0.9861139
1430,37,39,1.3104085967868093,7.007508039474487,True,2025-10-25 18:37:56,0,0.0,0.11341118812561035,0.98572429
1468,38,38,-0.9449807691290564,7.55198860168457,False,2025-10-25 18:38:05,0,0.0,0.14610175788402557,0.98534467
1500,39,32,-1.237995286074741,5.564965486526489,False,2025-10-25 18:38:12,0,0.0,0.05092813819646835,0.98502499
1562,40,62,-1.102146515156467,15.10608696937561,False,2025-10-25 18:38:28,0,0.0,0.05947543680667877,0.98440561
1618,41,56,-1.4518086472663971,11.580923795700073,False,2025-10-25 18:38:42,0,0.0,0.028262704610824585,0.98384617
1679,42,61,-1.2013796111532347,16.438385009765625,False,2025-10-25 18:38:59,0,0.0,0.034867286682128906,0.98323678
1723,43,44,-1.4527106227106228,11.296674966812134,False,2025-10-25 18:39:12,0,0.0,0.031488269567489624,0.98279722
1755,44,32,-1.2258972213361137,5.047355651855469,False,2025-10-25 18:39:18,0,0.0,0.03847040608525276,0.98247754
1788,45,33,-1.2690797969141137,7.212608814239502,False,2025-10-25 18:39:27,0,0.0,0.029129309579730034,0.98214787
1850,46,62,-1.0745551998861858,18.068806171417236,False,2025-10-25 18:39:46,0,0.0,0.03606697544455528,0.98152849
1887,47,37,-1.0554780579590424,5.011006116867065,False,2025-10-25 18:39:52,0,0.0,0.03288406506180763,0.98115886
1913,48,26,-1.5270373537968875,2.7411303520202637,False,2025-10-25 18:39:55,0,0.0,0.022218525409698486,0.98089912
1937,49,24,-1.5515850978315042,3.2101659774780273,False,2025-10-25 18:39:59,0,0.0,0.03492913395166397,0.98065936
