total_steps,episode,episode_steps,episode_reward,episode_time,win,repeated,loss,epsilon,intrinsic_reward
59,1,59,5.280000000000003,6.677123308181763,False,0,3.902775287628174,0.0,0.0
93,2,34,4.78,2.7442195415496826,False,1,3.899963855743408,0.0,0.0
123,3,30,4.8,3.2023818492889404,False,1,3.888390064239502,0.0,0.0
167,4,44,4.1,5.0254902839660645,False,1,3.7497029304504395,0.0,0.0
252,5,85,5.999999999999999,16.856140613555908,True,1,3.8861730098724365,0.0,0.0
311,6,59,3.48,15.146408557891846,False,2,3.880493640899658,0.0,0.0
339,7,28,4.88,5.1063737869262695,False,2,3.7409517765045166,0.0,0.0
371,8,32,6.0,5.6158623695373535,True,2,3.779669761657715,0.0,0.0
408,9,37,3.37,7.454063415527344,False,3,3.8132107257843018,0.0,0.0
499,10,91,4.37,34.5517418384552,False,3,3.802130699157715,0.0,0.0
542,11,43,5.999999999999997,8.574402809143066,True,3,3.791677474975586,0.0,0.0
571,12,29,3.8099999999999996,5.152611017227173,False,3,3.7386674880981445,0.0,0.0
625,13,54,5.999999999999999,12.608781814575195,True,3,3.8240785598754883,0.0,0.0
683,14,58,4.09,14.507463932037354,False,3,3.6934399604797363,0.0,0.0
710,15,27,2.0,4.827505111694336,False,3,3.7816853523254395,0.0,0.0
738,16,28,1.3099999999999992,4.756127834320068,False,3,3.688234329223633,0.0,0.0
771,17,33,4.76,8.120692253112793,False,3,3.89567494392395,0.0,0.0
797,18,26,5.199999999999999,5.618738651275635,False,3,3.634049415588379,0.0,0.0
845,19,48,3.8000000000000007,11.377468585968018,False,3,3.8799662590026855,0.0,0.0
864,20,19,1.64,2.5925965309143066,False,3,3.910393238067627,0.0,0.0
885,21,21,1.0,3.4804975986480713,False,3,3.778569221496582,0.0,0.0
923,22,38,4.29,6.934806823730469,False,3,3.7171950340270996,0.0,0.0
950,23,27,2.91,4.560399055480957,False,3,3.795135021209717,0.0,0.0
982,24,32,6.0,5.674524545669556,True,3,3.720287322998047,0.0,0.0
1006,25,24,5.45,4.266321420669556,False,3,3.7132489681243896,0.0,0.0
1033,26,27,4.41,4.824292182922363,False,3,3.7709858417510986,0.0,0.0
1075,27,42,6.0,9.48965311050415,True,3,3.793584108352661,0.0,0.0
1133,28,58,4.0,18.011972665786743,False,3,3.679576873779297,0.0,0.0
1178,29,45,6.0,10.31516432762146,True,3,3.8228836059570312,0.0,0.0
1239,30,61,4.72,15.52314043045044,False,3,3.728253126144409,0.0,0.0
1272,31,33,6.0,6.046330213546753,True,3,3.8039915561676025,0.0,0.0
1306,32,34,3.49,7.320098161697388,False,3,3.5708227157592773,0.0,0.0
1398,33,92,6.000000000000009,35.219250440597534,True,3,3.642080783843994,0.0,0.0
1426,34,28,4.75,5.007285118103027,False,4,3.59932017326355,0.0,0.0
1486,35,60,6.0,14.539600133895874,True,4,3.681730031967163,0.0,0.0
1538,36,52,5.0,12.649791955947876,True,4,3.811126708984375,0.0,0.0
1568,37,30,4.69,4.908569097518921,False,4,3.7875022888183594,0.0,0.0
1602,38,34,2.0,6.359642267227173,False,4,3.6890997886657715,0.0,0.0
1634,39,32,3.75,5.854750394821167,False,4,3.6531271934509277,0.0,0.0
1659,40,25,4.1899999999999995,3.8225250244140625,False,4,3.539429187774658,0.0,0.0
1689,41,30,3.52,7.4407994747161865,False,4,3.8337020874023438,0.0,0.0
1728,42,39,4.99,10.869055986404419,False,4,3.851285457611084,0.0,0.0
1768,43,40,6.0,8.270023584365845,True,4,3.763439416885376,0.0,0.0
1808,44,40,2.17,8.872896194458008,False,4,3.600886821746826,0.0,0.0
1843,45,35,3.3200000000000003,6.86981725692749,False,4,3.7614870071411133,0.0,0.0
1873,46,30,3.189999999999999,6.447183132171631,False,4,3.7009084224700928,0.0,0.0
1963,47,90,5.999999999999999,35.84561014175415,True,4,3.587372303009033,0.0,0.0
2001,48,38,3.6900000000000004,10.114208459854126,False,4,3.7697641849517822,0.0,0.0
2027,49,26,1.2200000000000002,4.115659952163696,False,4,3.777498245239258,0.0,0.0
2059,50,32,6.000000000000002,5.852577209472656,True,4,3.7458698749542236,0.0,0.0
2081,51,22,3.47,3.791537284851074,False,4,3.6308419704437256,0.0,0.0
2111,52,30,1.25,5.794392108917236,False,4,3.6542818546295166,0.0,0.0
2142,53,31,4.65,5.071029186248779,False,4,3.628296375274658,0.0,0.0
2175,54,33,3.4699999999999998,6.4997406005859375,False,4,3.716749906539917,0.0,0.0
2239,55,64,2.1899999999999995,10.65712857246399,False,4,3.4708142280578613,0.0,0.0
2267,56,28,4.999999999999999,3.040295124053955,False,4,3.557192802429199,0.0,0.0
2310,57,43,5.3,5.859475612640381,False,4,3.5621397495269775,0.0,0.0
2345,58,35,4.489999999999999,5.578464031219482,False,4,3.4846653938293457,0.0,0.0
2383,59,38,3.3999999999999995,8.201932430267334,False,4,3.6295127868652344,0.0,0.0
2414,60,31,3.5000000000000004,4.59882378578186,False,4,3.732619047164917,0.0,0.0
2461,61,47,5.259999999999999,7.781657695770264,False,4,3.6733202934265137,0.0,0.0
2495,62,34,6.000000000000001,5.732087135314941,True,4,3.578212022781372,0.0,0.0
2531,63,36,4.0,8.274208545684814,False,4,3.723158121109009,0.0,0.0
2566,64,35,3.46,8.165637731552124,False,4,3.775571823120117,0.0,0.0
2589,65,23,3.49,5.142380475997925,False,4,3.651869297027588,0.0,0.0
2619,66,30,1.17,7.067381143569946,False,4,3.699812650680542,0.0,0.0
2652,67,33,4.660000000000001,7.744170904159546,False,4,3.4413836002349854,0.0,0.0
2703,68,51,4.999999999999998,18.47580075263977,False,4,3.7438783645629883,0.0,0.0
2823,69,120,6.0,63.69703435897827,True,4,3.8123016357421875,0.0,0.0
2854,70,31,3.8899999999999997,9.546081304550171,False,4,3.826775550842285,0.0,0.0
2902,71,48,3.8700000000000006,13.990005493164062,False,4,3.7176403999328613,0.0,0.0
2948,72,46,2.17,11.676897525787354,False,4,3.6440834999084473,0.0,0.0
2973,73,25,6.0,5.655493974685669,True,4,3.684022903442383,0.0,0.0
3016,74,43,3.13,10.962002515792847,False,4,3.493607997894287,0.0,0.0
3073,75,57,4.95,17.561529397964478,False,4,3.6494715213775635,0.0,0.0
3094,76,21,6.0,4.947815179824829,True,4,3.6797304153442383,0.0,0.0
3128,77,34,5.87,9.937979936599731,False,4,3.6046032905578613,0.0,0.0
3153,78,25,3.11,6.232836484909058,False,4,3.500225067138672,0.0,0.0
3181,79,28,4.0,5.44486141204834,False,4,3.71621036529541,0.0,0.0
3224,80,43,3.72,11.650174617767334,False,4,3.633112907409668,0.0,0.0
3256,81,32,1.63,6.628141403198242,False,4,3.591217279434204,0.0,0.0
3296,82,40,2.26,9.870191812515259,False,4,3.7668278217315674,0.0,0.0
3326,83,30,6.0,6.1467671394348145,True,4,3.5329322814941406,0.0,0.0
